Timestamp,Wie alt sind Sie?,"Aus welchem Bundesland kommen Sie? (Falls Ã–sterreich oder Deutschland nicht zutrifft, geben Sie das Land an)",Wie weit leben Sie von Hagenberg entfernt? (Angabe in km),In welche Schule sind Sie zuletzt gegangen?,"Falls auf die vorherige Frage eine andere Schulform zutraf, geben Sie die Schulform an:","Geben Sie das Jahr an, in dem Sie die Schule abgeschlossen haben!","Geben ein Land ein, was Sie bereist haben und Ihnen sehr gefallen hat!",Geben Sie eines Ihrer Lieblings-Hobbies an!,Wie kommen Sie nach Hagenberg?,Wie lange brauchen Sie im Durchschnitt in Minuten um von Ihrem aktuellen Wohnort nach Hagenberg zu kommen?
11/2/2022 7:25:29,38,ThÃ¼ringen,25,Gymnasium,,2002,Oman,Tanzen,mit Auto,25
11/2/2022 16:12:06,22,OberÃ¶sterreich,40,HÃ¶here Technische Lehranstalten (HTL),,2020,Italien,Tennis,mit Auto,60
11/2/2022 17:29:38,20,OberÃ¶sterreich,15,"HÃ¶here Lehranstalt fÃ¼r wirtschaftliche Berufe (HLW, HLWB)",,2021,Spanien,Serien schauen,mit Auto,20
11/2/2022 17:32:38,21,Tirol,1,Handelsakademie (HAK),,2020,Griechenland,Klettern,zu FuÃŸ,5
11/2/2022 17:47:48,36,OberÃ¶sterreich ,26,HÃ¶here Technische Lehranstalten (HTL),,2008,Amerika,Gaming,mit Auto,25
11/2/2022 17:48:11,21,NiederÃ¶sterreich,44,HÃ¶here Technische Lehranstalten (HTL),,2020,England,Einkaufen,mit Auto,60
11/2/2022 17:48:13,20,OberÃ¶sterreich,20,Gymnasium / AHS-Oberstufe,,2020,Portugal,Video Editing,mit Bus,60
11/2/2022 17:48:16,21,OberÃ¶sterreich ,30,Handelsakademie (HAK),,2020,Portugal,FuÃŸball ğŸ«¶ğŸ¼ğŸ«¶ğŸ¼ğŸ«¶ğŸ¼ğŸ«¶ğŸ¼ğŸ«¶ğŸ¼ğŸ«¶ğŸ¼ğŸ«¶ğŸ¼ğŸ«¶ğŸ¼ğŸ«¶ğŸ¼ğŸ«¶ğŸ¼,mit Auto,25
11/2/2022 17:48:35,20,OberÃ¶sterreich ,0,Gymnasium / AHS-Oberstufe,,2020,Kroatien,Gitarre spielen,zu FuÃŸ,2
11/2/2022 17:48:51,24,NiederÃ¶sterreich,42,"HÃ¶here Lehranstalt fÃ¼r wirtschaftliche Berufe (HLW, HLWB)",,2018,Italien,Saxophon spielen,mit Auto,40
11/2/2022 17:49:04,22,OberÃ¶sterreich,0.1,Handelsakademie (HAK),,2019,England,Video Games,zu FuÃŸ,2
11/2/2022 17:49:04,20,NiederÃ¶sterreich ,0.3,Handelsakademie (HAK),,2021,Irland,Gaming,zu FuÃŸ,5
11/2/2022 17:49:06,19,OberÃ¶sterreich,59,Gymnasium / AHS-Oberstufe,,2021,Italien,tanzen,mit einer Kombination mehrerer Ã¶ffentlichen Verkehrsmittel,70
11/2/2022 17:49:15,20,OberÃ¶sterreich ,20,HÃ¶here Technische Lehranstalten (HTL),,2021,Spanien,Ski fahren,mit Auto,15
11/2/2022 17:49:16,19,NiederÃ¶sterreich,182,Gymnasium / AHS-Oberstufe,,2020,Deutschland,Sport,mit einer Kombination mehrerer Ã¶ffentlichen Verkehrsmittel,3.5
11/2/2022 17:49:19,21,NiederÃ¶sterreich ,65,HBLA,HBLA,2021,GroÃŸbritannien,Gaming,mit Auto,55
11/2/2022 17:49:20,21,Salzburg ,0.4,Handelsakademie (HAK),,2020,Norwegen ,Schach,mit Auto,5
11/2/2022 17:49:29,23,Tirol,348.6,Handelsakademie (HAK),,2019,Vereinigtes KÃ¶nigreich ,Gaming,mit einer Kombination mehrerer Ã¶ffentlichen Verkehrsmittel,210
11/2/2022 17:49:54,19,OberÃ¶sterreich ,24,Gymnasium / AHS-Oberstufe,,2021,Frankreich,Zeichnen,mit Bus,60
11/2/2022 17:49:59,20,Wien,0,Gymnasium / AHS-Oberstufe,,2020,Spanien,Lesen,zu FuÃŸ,5
11/2/2022 17:50:00,20,Burgenland,1,"HÃ¶here Lehranstalt fÃ¼r wirtschaftliche Berufe (HLW, HLWB)",,2021,GroÃŸbritannien,Lesen,mit Zug,244
11/2/2022 17:50:04,20,OberÃ¶sterreich,0.2,Gymnasium / AHS-Oberstufe,,2020,England,Programmieren,mit Auto,7
11/2/2022 17:50:04,21,NiederÃ¶sterreich,66,Handelsakademie (HAK),,2019,Italien,VR-gaming,mit Auto,60
11/2/2022 17:50:11,23,OberÃ¶sterreich,30,Gymnasium / AHS-Oberstufe,,2018,Italien,Freunde treffen,mit Auto,40
11/2/2022 17:50:14,19,Baden-WÃ¼rttemberg,3.6,Gymnasium / AHS-Oberstufe,,2021,Malta,"Volleyball, Harfe, Programmieren, Backen",zu FuÃŸ,12
11/2/2022 17:50:15,23,OberÃ¶sterreich,0.5,Fachschule,Fachschule,2016,Frankreich,Basteln,mit Auto,60
11/2/2022 17:50:24,21,NiederÃ¶sterreich ,300,Gymnasium / AHS-Oberstufe,,2019,Indonesien,Sport,mit Zug,250
11/2/2022 17:50:25,21,NiederÃ¶sterreich ,173,Gymnasium / AHS-Oberstufe,,2019,Indonesien,Musikproduktion,mit einer Kombination mehrerer Ã¶ffentlichen Verkehrsmittel,210
11/2/2022 17:50:25,22,OberÃ¶sterreich,28,Gymnasium / AHS-Oberstufe,,2019,Spanien,Lesen,mit Bus,80
11/2/2022 17:50:27,20,Italien,488,Gymnasium / AHS-Oberstufe,,2021,Ã–sterreich,Bergsteigen,mit Zug,390
11/2/2022 17:55:19,20,NiederÃ¶sterreich,57,Handelsakademie (HAK),,2021,Schottland,fotografieren,mit einer Kombination mehrerer Ã¶ffentlichen Verkehrsmittel,90
11/2/2022 18:03:32,20,NiederÃ¶sterreich ,0.5,HÃ¶here Technische Lehranstalten (HTL),,2021,Schottland,Sudoku,mit einer Kombination mehrerer Ã¶ffentlichen Verkehrsmittel,7
11/2/2022 18:17:14,21,Salzburg,0.5,HÃ¶here Technische Lehranstalten (HTL),,2020,DÃ¤nemark,"Volleyball, Parkour",mit einer Kombination mehrerer Ã¶ffentlichen Verkehrsmittel,120
11/2/2022 18:35:30,22,OberÃ¶sterreich,1,HÃ¶here Technische Lehranstalten (HTL),,2020,England,Tabletop RPGs,zu FuÃŸ,5
11/3/2022 8:13:21,21,OberÃ¶sterreich,11,Gymnasium / AHS-Oberstufe,,2020,Frankreich,Lesen,mit Bus,30